svg2,100,100,4292.72,4094.56
path4,1092.86,3371.07,138.768,48.6613
path6,1398.59,3371.07,138.693,48.6613
path8,1231.28,3419,167.66,0.736651
g10,1099,3345.66,126.601,70.459
path12,1185.44,3381.73,13.5473,13.5473
path14,1185.44,3381.73,13.5473,13.5473
path16,1116.89,3345.66,26.89,19.854
path18,1124.95,3371.78,12.269,33.8982
path20,1124.95,3371.78,12.269,33.8982
path22,1125.23,3372.25,11.718,3.11604
path24,1125.38,3374.84,11.7184,3.11629
path26,1125.23,3377.27,11.718,3.11641
path28,1125.38,3379.86,11.7184,3.11738
path30,1125.23,3382.3,11.718,3.11629
path32,1125.38,3384.89,11.7184,3.11641
path34,1125.23,3387.33,11.718,3.11629
path36,1125.38,3389.91,11.7184,3.11641
path38,1125.23,3392.35,11.7181,3.11738
path40,1125.38,3394.94,11.7184,3.11605
path42,1125.23,3397.38,11.718,3.11532
path44,1125.38,3399.97,11.7184,3.11629
path46,1125.38,3402.4,11.7184,3.1175
path48,1140.85,3393.21,44.203,21.0181
path50,1099,3379.44,126.601,15.078
path52,1099,3379.44,126.601,15.078
path54,1182.65,3378.62,19.8748,14.9343
path56,1182.65,3378.62,19.8737,14.9328
path58,1121.04,3376.89,20.28,16.4042
path60,1121.04,3376.89,20.28,16.4042
path62,1140.62,3379.74,42.3153,13.7507
path64,1101.25,3379.59,13.9561,13.9537
path66,1203.87,3379.95,19.8709,13.1382
path68,1140.85,3413.02,44.203,3.10425
path70,1140.85,3413.02,44.203,3.10425
path72,1104.65,3347.45,53.9431,31.9093
path74,1104.65,3347.45,53.9431,31.9093
path76,1101.59,3347.45,60.6758,7.42661
path78,1101.59,3347.45,60.6758,7.42661
path80,1101.59,3373.16,60.6758,7.42637
path82,1101.59,3373.16,60.6758,7.42637
path84,1165.25,3347.45,53.9431,31.9093
path86,1165.25,3347.45,53.9431,31.9093
path88,1162.19,3347.45,60.6758,7.42661
path90,1162.19,3347.45,60.6758,7.42661
path92,1162.19,3373.16,60.6758,7.42637
path94,1162.19,3373.16,60.6758,7.42637
g96,1406.91,3345.66,126.601,70.459
path98,1433.52,3381.73,13.5473,13.5473
path100,1433.52,3381.73,13.5473,13.5473
path102,1488.73,3345.66,26.89,19.854
path104,1495.29,3371.78,12.2691,33.8982
path106,1495.29,3371.78,12.2691,33.8982
path108,1495.56,3372.25,11.7181,3.11605
path110,1495.41,3374.84,11.7184,3.11629
path112,1495.56,3377.27,11.7181,3.11641
path114,1495.41,3379.86,11.7184,3.11738
path116,1495.56,3382.3,11.7181,3.11629
path118,1495.41,3384.89,11.7184,3.11641
path120,1495.56,3387.33,11.7181,3.11629
path122,1495.41,3389.91,11.7184,3.11641
path124,1495.56,3392.35,11.7182,3.11738
path126,1495.41,3394.94,11.7184,3.11605
path128,1495.56,3397.38,11.7181,3.11532
path130,1495.41,3399.97,11.7184,3.11629
path132,1495.41,3402.4,11.7184,3.1175
path134,1447.46,3393.21,44.203,21.0181
path136,1406.91,3379.44,126.601,15.0772
path138,1406.91,3379.44,126.601,15.0772
path140,1429.99,3378.62,19.8748,14.9343
path142,1429.99,3378.62,19.8737,14.9328
path144,1491.19,3376.89,20.28,16.4042
path146,1491.19,3376.89,20.28,16.4042
path148,1449.57,3379.74,42.3153,13.7507
path150,1517.31,3379.59,13.9561,13.9537
path152,1408.77,3379.95,19.8709,13.1382
path154,1447.46,3413.02,44.203,3.10425
path156,1447.46,3413.02,44.203,3.10425
path158,1473.92,3347.45,53.9431,31.9093
path160,1473.92,3347.45,53.9431,31.9093
path162,1470.24,3347.45,60.6758,7.42661
path164,1470.24,3347.45,60.6758,7.42661
path166,1470.24,3373.16,60.6758,7.42637
path168,1470.24,3373.16,60.6758,7.42637
path170,1413.32,3347.45,53.9431,31.9093
path172,1413.32,3347.45,53.9431,31.9093
path174,1409.65,3347.45,60.6758,7.42661
path176,1409.65,3347.45,60.6758,7.42661
path178,1409.65,3373.16,60.6758,7.42637
path180,1409.65,3373.16,60.6758,7.42637
g182,3353.2,3343.62,92.4018,132.595
path184,3380.87,3443.62,64.7362,30.6797
path186,3391.1,3370.46,25.9194,28.3882
path188,3364.64,3442.55,37.7062,25.2804
path190,3365.29,3443.32,36.484,23.7561
path192,3368.39,3444.02,30.276,22.3627
path194,3371.04,3444.61,24.9706,21.1719
path196,3375.95,3445.71,15.1656,18.9712
path198,3378.51,3446.29,10.0369,17.82
path200,3361.05,3432.48,70.9714,43.409
path202,3375.78,3392.34,42.3467,49.8203
path204,3376.9,3387.09,49.8708,14.9526
path206,3376.9,3387.09,49.871,14.9526
path208,3391.12,3384.01,23.5607,11.6128
path210,3391.12,3384.01,23.5607,11.6132
path212,3412.62,3388.84,12.8124,9.20084
path214,3412.62,3388.84,12.8122,9.19998
path216,3380.37,3381.6,12.8098,9.20145
path218,3380.37,3381.6,12.8106,9.20072
path220,3396.57,3347.49,25.5351,28.1822
path222,3401.82,3344.3,20.9981,8.27834
path224,3402.54,3343.62,20.2822,5.7747
path226,3405.94,3357.93,6.93399,6.94578
path228,3404.08,3450.12,18.1441,18.1438
path230,3362.46,3463.58,50.1095,12.629
path232,3353.2,3429.39,15.474,8.30038
g234,3427.94,3360.87,92.4018,132.595
path236,3455.6,3460.87,64.7362,30.6796
path238,3465.84,3387.71,25.9193,28.3882
path240,3439.37,3459.8,37.7062,25.2803
path242,3440.02,3460.57,36.484,23.7561
path244,3443.12,3461.27,30.276,22.3627
path246,3445.78,3461.86,24.9706,21.172
path248,3450.68,3462.96,15.1656,18.9712
path250,3453.24,3463.54,10.0369,17.82
path252,3435.78,3449.73,70.9714,43.4089
path254,3450.51,3409.59,42.3467,49.8203
path256,3451.63,3404.33,49.8708,14.9527
path258,3451.63,3404.34,49.871,14.9526
path260,3465.85,3401.26,23.5607,11.6128
path262,3465.85,3401.26,23.5607,11.6131
path264,3487.35,3406.09,12.8124,9.20084
path266,3487.35,3406.09,12.8122,9.19998
path268,3455.11,3398.85,12.8098,9.20133
path270,3455.11,3398.85,12.8106,9.20072
path272,3471.3,3364.74,25.5351,28.1823
path274,3476.55,3361.55,20.9981,8.27834
path276,3477.27,3360.87,20.2822,5.77481
path278,3480.67,3375.18,6.93399,6.94574
path280,3478.81,3467.37,18.1441,18.1439
path282,3437.19,3480.83,50.1095,12.6289
path284,3427.94,3446.64,15.474,8.3005
g286,3504.69,3378.88,92.4018,132.595
path288,3532.36,3478.88,64.7364,30.6796
path290,3542.59,3405.72,25.9193,28.3882
path292,3516.12,3477.81,37.7062,25.2803
path294,3516.77,3478.58,36.4841,23.7561
path296,3519.88,3479.27,30.276,22.3628
path298,3522.53,3479.87,24.9706,21.1719
path300,3527.43,3480.97,15.1656,18.9712
path302,3530,3481.55,10.0369,17.82
path304,3512.53,3467.73,70.9714,43.4089
path306,3527.27,3427.6,42.3467,49.8203
path308,3528.39,3422.34,49.8708,14.9526
path310,3528.39,3422.34,49.8711,14.9526
path312,3542.61,3419.27,23.5607,11.6128
path314,3542.61,3419.27,23.5607,11.6131
path316,3564.11,3424.1,12.8124,9.20084
path318,3564.11,3424.1,12.8122,9.19998
path320,3531.86,3416.86,12.8098,9.20133
path322,3531.86,3416.86,12.8106,9.20072
path324,3548.05,3382.75,25.5351,28.1823
path326,3553.31,3379.56,20.9981,8.27834
path328,3554.02,3378.88,20.2822,5.77481
path330,3557.43,3393.19,6.93399,6.94574
path332,3555.56,3485.38,18.1441,18.1439
path334,3513.95,3498.84,50.1095,12.6289
path336,3504.69,3464.64,15.474,8.3005
g338,3581.37,3396.31,92.4018,132.595
path340,3609.04,3496.31,64.7362,30.6796
path342,3619.27,3423.15,25.9193,28.3882
path344,3592.81,3495.24,37.7062,25.2803
path346,3593.46,3496.01,36.484,23.7561
path348,3596.56,3496.71,30.276,22.3627
path350,3599.21,3497.3,24.9706,21.1719
path352,3604.12,3498.4,15.1656,18.9712
path354,3606.68,3498.98,10.0369,17.82
path356,3589.22,3485.17,70.9714,43.4089
path358,3603.95,3445.03,42.3467,49.8203
path360,3605.07,3439.78,49.8708,14.9527
path362,3605.07,3439.78,49.871,14.9526
path364,3619.29,3436.7,23.5607,11.6128
path366,3619.29,3436.7,23.5607,11.6131
path368,3640.79,3441.53,12.8124,9.20084
path370,3640.79,3441.53,12.8122,9.19998
path372,3608.54,3434.29,12.8098,9.20133
path374,3608.54,3434.29,12.8106,9.20072
path376,3624.74,3400.18,25.5351,28.1823
path378,3629.99,3396.99,20.9981,8.27834
path380,3630.71,3396.31,20.2822,5.77481
path382,3634.11,3410.62,6.93399,6.94574
path384,3632.25,3502.82,18.1441,18.1439
path386,3590.63,3516.27,50.1095,12.6289
path388,3581.37,3482.08,15.474,8.3005
g390,3658.04,3414.02,92.4018,132.595
path392,3685.71,3514.02,64.7362,30.6797
path394,3695.94,3440.86,25.9194,28.3883
path396,3669.48,3512.95,37.7062,25.2804
path398,3670.13,3513.72,36.484,23.7561
path400,3673.23,3514.41,30.276,22.3627
path402,3675.88,3515.01,24.9707,21.1719
path404,3680.79,3516.11,15.1656,18.9712
path406,3683.35,3516.69,10.0369,17.82
path408,3665.89,3502.87,70.9714,43.409
path410,3680.62,3462.74,42.3467,49.8203
path412,3681.74,3457.48,49.8708,14.9526
path414,3681.74,3457.48,49.871,14.9526
path416,3695.96,3454.41,23.5607,11.6128
path418,3695.96,3454.41,23.5607,11.6132
path420,3717.46,3459.24,12.8124,9.20084
path422,3717.46,3459.24,12.8122,9.19986
path424,3685.21,3452,12.8097,9.20145
path426,3685.21,3452,12.8108,9.20072
path428,3701.41,3417.89,25.5351,28.1822
path430,3706.66,3414.7,20.9982,8.27834
path432,3707.38,3414.02,20.2821,5.7747
path434,3710.78,3428.33,6.93399,6.94578
path436,3708.92,3520.52,18.1441,18.1438
path438,3667.3,3533.98,50.1095,12.629
path440,3658.04,3499.78,15.474,8.30038
g442,3735.45,3431.9,92.4018,132.595
path444,3763.12,3531.9,64.7362,30.6796
path446,3773.35,3458.74,25.9194,28.3883
path448,3746.89,3530.83,37.7062,25.2804
path450,3747.54,3531.6,36.484,23.7561
path452,3750.64,3532.3,30.276,22.3627
path454,3753.29,3532.89,24.9706,21.1719
path456,3758.19,3533.99,15.1656,18.9712
path458,3760.76,3534.57,10.0369,17.82
path460,3743.3,3520.76,70.9714,43.409
path462,3758.03,3480.62,42.3467,49.8203
path464,3759.15,3475.37,49.8708,14.9526
path466,3759.15,3475.37,49.871,14.9527
path468,3773.37,3472.29,23.5607,11.6128
path470,3773.37,3472.29,23.5607,11.6132
path472,3794.87,3477.12,12.8124,9.20084
path474,3794.87,3477.12,12.8122,9.19986
path476,3762.62,3469.88,12.8098,9.20145
path478,3762.62,3469.88,12.8106,9.20072
path480,3778.82,3435.77,25.5351,28.1822
path482,3784.07,3432.58,20.9981,8.27834
path484,3784.79,3431.9,20.2822,5.77472
path486,3788.19,3446.21,6.93399,6.94578
path488,3786.33,3538.4,18.1441,18.1438
path490,3744.71,3551.86,50.1095,12.629
path492,3735.45,3517.67,15.474,8.30038
path494,1536.93,3365.77,2379.37,191.214
path496,1536.93,3788.43,2379.37,191.215
path498,1537.7,3418.92,280.075,106.724
g500,1740.5,3379.86,29.8253,117.58
path502,1749.17,3379.86,11.7724,111.184
path504,1748.15,3390.4,14.4108,4.24831
path506,1748.07,3401.47,14.411,4.24341
path508,1747.99,3412.53,14.4108,4.24843
path510,1747.91,3423.6,14.4108,4.24329
path512,1747.82,3434.66,14.4108,4.24831
path514,1747.74,3445.72,14.411,4.24451
path516,1747.66,3456.78,14.4108,4.24843
path518,1747.58,3467.85,14.4108,4.24341
path520,1747.49,3478.91,14.4108,4.24831
path522,1748.16,3395.75,14.4108,4.24831
path524,1748.07,3406.82,14.411,4.24329
path526,1747.99,3417.88,14.4108,4.24831
path528,1747.91,3428.95,14.4108,4.24329
path530,1747.83,3440.01,14.4108,4.24843
path532,1747.74,3451.07,14.411,4.24464
path534,1747.66,3462.13,14.4108,4.24831
path536,1747.58,3473.2,14.4108,4.24329
path538,1747.58,3489.92,14.4108,4.24329
path540,1747.66,3484.2,14.4108,4.24831
path542,1748.15,3383.94,14.4108,4.24831
path544,1740.5,3490.56,29.8253,6.87427
path546,1727.92,3488.21,53.8034,6.9046
g548,1559.22,3379.48,29.8252,133.541
path550,1559.22,3506.15,29.8252,6.87426
path552,1567.89,3379.48,11.7724,127.547
path554,1566.87,3390.03,14.411,4.24831
path556,1566.79,3401.1,14.411,4.24341
path558,1566.71,3412.16,14.4108,4.24843
path560,1566.62,3423.22,14.411,4.24329
path562,1566.54,3434.28,14.411,4.24831
path564,1566.46,3445.35,14.4108,4.24451
path566,1566.38,3456.41,14.4108,4.24831
path568,1566.29,3467.47,14.411,4.24341
path570,1566.21,3478.53,14.411,4.24843
path572,1566.88,3395.38,14.411,4.24843
path574,1566.79,3406.45,14.4108,4.24329
